"Plate"	"Well.position"	"CTB"	"row"	"column"	"Replicate"	"Product.."	"Probe.ID"	"miRBase.ID.miRPlus.ID"	"miRBase.accession"	"Comment.in.miRBase"	"Sample"	"Control"	"poc"	"npi"	"rzscore"	"zscore"	"centered"	"rcentered"	"Bscore"	"posEffectNorm"	"wellCount"
"1"	"A1"	8429	1	1	"1"	""	34143	"hsa-mir-384"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0001075' target='_blank'>MIMAT0001075</a>"	NA	"hsa-mir-384"	NA	1.48228259913831	-2.71131982204647	5.43502698940561	3.78478129517287	1.47509497524446	1.49212249955744	3.45841471210975	3.27793066196914	1
"1"	"A2"	7390	1	2	"1"	"410008-00"	NA	"hsa-mir-515-5p"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0002826' target='_blank'>MIMAT0002826</a>"	NA	"hsa-mir-515-5p"	NA	1.29956915501627	-1.68413247652002	3.40373452825725	2.33627686149271	1.29326751299757	1.3081961409099	1.73840218026694	1.27457783983246	2
"1"	"A3"	7761	1	3	"1"	"410009-00"	NA	"hsa-mir-518c"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0002848' target='_blank'>MIMAT0002848</a>"	NA	"hsa-mir-518c"	NA	1.36481139541018	-2.05091448344043	4.12905647540455	2.85350029257581	1.35819339220219	1.37387148167817	2.99690174135919	1.99744734139471	3
"1"	"A4"	6226	1	4	"1"	""	34256	"hsa-mir-548c-3p"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0003285' target='_blank'>MIMAT0003285</a>"	NA	"hsa-mir-548c-3p"	NA	1.09487382396905	-0.533366287691547	1.12806135715361	0.713505773134961	1.08956475452272	1.10214197203045	0.186370838929652	-0.00903440604010527	4
"1"	"A5"	6100	1	5	"1"	"410011-00"	NA	"hsa-mir-548d-3p"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0003323' target='_blank'>MIMAT0003323</a>"	NA	"hsa-mir-548d-3p"	NA	1.07271608194847	-0.408798813643104	0.88172560151868	0.537844985219947	1.06751445592492	1.07983713931669	-0.243464282292956	-0.304445308438662	5
"1"	"A6"	5972	1	6	"1"	""	44776	"hsa-miRPlus-B1114"	NA	NA	"hsa-miRPlus-B1114"	NA	1.0502066297371	-0.282254078101829	0.631479754524464	0.359395930830091	1.04511415258748	1.05717826163923	-0.177756418903728	-0.492469753569003	6
"1"	"A7"	7506	1	7	"1"	""	44782	"hsa-let-7c*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004483' target='_blank'>MIMAT0004483</a>"	NA	"hsa-let-7c*"	NA	1.31996834608283	-1.7988136431043	3.63051982709576	2.49799631703352	1.31356778789713	1.3287307488051	2.68137569721817	2.23165034500523	7
"1"	"A8"	5967	1	8	"1"	"410023-00"	NA	"hsa-let-7e*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004485' target='_blank'>MIMAT0004485</a>"	NA	"hsa-let-7e*"	NA	1.04932735426009	-0.277310924369748	0.621704526126253	0.352425264642987	1.04423914073836	1.05629314922995	-0.58449756303556	-0.23933906383313	8
"1"	"A9"	5801	1	9	"1"	"410025-00"	NA	"hsa-let-7f-2*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004487' target='_blank'>MIMAT0004487</a>"	NA	"hsa-let-7f-2*"	NA	1.02013540842346	-0.113198220464656	0.29716694330563	0.120999147231143	1.01518874734762	1.02690741724199	-0.978286529539763	-0.647621754477746	9
"1"	"A10"	6784	1	10	"1"	"410030-00"	NA	"hsa-mir-100*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004512' target='_blank'>MIMAT0004512</a>"	NA	"hsa-mir-100*"	NA	1.19300096720302	-1.08502224419179	2.21897684639402	1.49143211961574	1.18721607688437	1.20092051690565	0.757855129160093	0.8285961166444	10
"1"	"A11"	6169	1	11	"1"	""	44800	"hsa-mir-105"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0000102' target='_blank'>MIMAT0000102</a>"	NA	"hsa-mir-105"	NA	1.08485008353117	-0.477014335145823	1.016623753414	0.634040178601978	1.07958961944276	1.0920516905647	-0.337947974279419	-0.265326190696066	11
"1"	"A12"	5389	1	12	"1"	""	NA	""	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=' target='_blank'></a>"	NA	""	"NEG"	0.947683109118087	0.294117647058824	-0.508311876706999	-0.453383746586206	0.943087770980232	0.953974154717649	-1.45354591522531	-1.1085227659615	12
"1"	"B1"	5538	2	1	"1"	"410032-00"	NA	"hsa-mir-105*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004516' target='_blank'>MIMAT0004516</a>"	NA	"hsa-mir-105*"	NA	0.973885518332894	0.146811665842808	-0.217010070440296	-0.245657894210514	0.969163124083972	0.980350504514073	-0.797597542116572	-0.564676825897657	13
"1"	"B2"	5435	2	2	"1"	"410033-00"	NA	"hsa-mir-106a*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004517' target='_blank'>MIMAT0004517</a>"	NA	"hsa-mir-106a*"	NA	0.955772443506551	0.248640632723678	-0.418379775443453	-0.389253617664851	0.951137879992125	0.962117188882988	-0.687687317814181	-0.994647655367756	14
"1"	"B3"	5261	2	3	"1"	"410040-00"	NA	"hsa-mir-122*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004590' target='_blank'>MIMAT0004590</a>"	NA	"hsa-mir-122*"	NA	0.925173656906709	0.420662382600099	-0.758557723701214	-0.631832800976062	0.920687467642791	0.931315277040184	-0.494687652126992	-1.20185570001411	15
"1"	"B4"	5358	2	4	"1"	""	44818	"hsa-mir-125b-2*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004603' target='_blank'>MIMAT0004603</a>"	NA	"hsa-mir-125b-2*"	NA	0.942231601160644	0.324765200197726	-0.568918292775911	-0.496601876946249	0.937662697515696	0.948486457780138	-0.114584005380286	-0.587919652793317	16
"1"	"B5"	5635	2	5	"1"	""	44824	"hsa-mir-129*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004548' target='_blank'>MIMAT0004548</a>"	NA	"hsa-mir-129*"	NA	0.990943462586828	0.050914483440435	-0.0273706395149923	-0.110426970180701	0.986138353956877	0.997521685254027	0.243464282292956	-0.158768268205055	17
"1"	"B6"	5467	2	6	"1"	"410046-00"	NA	"hsa-mir-130a*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004593' target='_blank'>MIMAT0004593</a>"	NA	"hsa-mir-130a*"	NA	0.961399806559395	0.217004448838359	-0.3558183136949	-0.344641354067387	0.956737955826485	0.967781908302354	0.230970318496492	-0.441150821929026	18
"1"	"B7"	5590	2	7	"1"	"410049-00"	NA	"hsa-mir-132*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004594' target='_blank'>MIMAT0004594</a>"	NA	"hsa-mir-132*"	NA	0.983029983293766	0.0954028670291646	-0.115347695098896	-0.173162965864635	0.978263247314807	0.989555673570543	0.331532980643093	-0.0918845612424821	19
"1"	"B8"	5557	2	8	"1"	""	44838	"hsa-mir-135b*"	"<a href='http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0004698' target='_blank'>MIMAT0004698</a>"	NA	"hsa-mir-135b*"	NA	0.97722676514552	0.1280276816609	-0.179864202527092	-0.21916936269952	0.972488169110623	0.983713931669322	0.00995851393067799	-0.00791945539773915	20
